phone	nom	cognom_1	cognom_2	date	email
646742896	Gonzalo	García	Juan	1984-03-18	G.García@institut.edu
667289836	Guille	Martínez	Juan	1987-05-23	G.Martínez@educacio.eu
663767237	Damià	Vidal	Jiménez	1963-10-31	D.Vidal@govern.cat
635588850	César	Fuentes	Huelin	1960-06-03	C.Fuentes@educacio.eu
664273643	Francisco	Caballer	Gutiérrez	1991-11-17	F.Caballer@institut.edu
680712444	Edgar	Pons	Guerendiain	1981-09-10	E.Pons@educacio.com
621582826	Agustín	Peñalver	Grau	1968-08-29	A.Peñalver@educacio.com
616898818	Alfredo	Batlle	González	1949-06-22	A.Batlle@educacio.edu
663735049	Daniel	Cabrera	González	1971-02-26	D.Cabrera@educacio.edu
634381311	Alfons	Salmerón	Gomila	2001-12-12	A.Salmerón@bcn.cat
668707188	Francina	Company	Gómez	1954-09-07	F.Company@institut.edu
653729253	Guillem	Paredes	Giner	1961-01-27	G.Paredes@educacio.edu
602132343	Àgata	Cardona	Gilbert	1966-08-07	À.Cardona@gencat.cat
624462823	Clara Jakqueline	Terra	García	1946-03-10	C.Terra@educacio.edu
666827356	Ingrid	Bondia	Fox	1953-08-31	I.Bondia@educacio.eu
656659295	Inmaculada	Langa	Fox	1947-06-04	I.Langa@bcn.cat
638337533	Cristina	Fernández	Flotats	1976-05-10	C.Fernández@educacio.edu
676616736	Adriel Micael del Valle	Partal	Fernández	1961-01-06	A.Partal@gencat.cat
683575564	Helena	Ciudad	Fernández	1962-03-05	H.Ciudad@institut.edu
633075260	Alexander Guillem	Lozano	Faura	1998-09-10	A.Lozano@bcn.cat
672272587	Janet	Rovira	Escuredo	1966-06-14	J.Rovira@educacio.edu
669463623	Eduard	Navalón	Donato	1996-11-06	E.Navalón@govern.cat
698423784	Emili	Hornero	De los Santos	1987-01-17	E.Hornero@gencat.cat
666631318	Aïda	Abelaira	Dapena	1985-04-28	A.Abelaira@educacio.eu
608107215	Aitor	Boladeres	Dapena	1977-10-06	A.Boladeres@educacio.com
657243994	Alba	Hernández	Dapena	1991-05-06	A.Hernández@educacio.eu
645703282	Albert	Segura	Dapena	1941-01-09	A.Segura@bcn.cat
625173954	Alberto	Alarcón	Dapena	1946-07-30	A.Alarcón@govern.cat
621628352	Alejandro	Calpe	Dapena	1997-02-17	A.Calpe@educacio.eu
684288815	Ancor	Ricart	Cojo	1941-06-25	A.Ricart@institut.edu
689048936	Adriana	Garcia	Castro	1982-07-13	A.Garcia@govern.cat
684753831	Alexandra	Dalmau	Carr	1981-03-08	A.Dalmau@gencat.cat
638617347	Claudia	Salvador	Bellobí	1961-10-13	C.Salvador@educacio.eu
688122998	Andreu	López	Bastardas	1980-10-10	A.López@bcn.cat
622775035	Angel David	Monllaó	Bastardas	1965-11-30	A.Monllaó@institut.edu
647587761	Àngels	Muñoz	Bastardas	1991-06-09	À.Muñoz@educacio.eu
653781845	Anna	Montes	Bastardas	1993-04-04	A.Montes@govern.cat
653772737	Anna A	Guerrero	Bastardas	1951-03-05	A.Guerrero@institut.edu
672312193	Antoni	Román	Bastardas	1994-04-07	A.Román@educacio.com
606352181	Antonio	Molons	Bastardas	1967-06-02	A.Molons@educacio.com
626356961	Antonio Jesús	Palomera	Bastardas	1971-01-06	A.Palomera@gencat.cat
681451526	Antonio Juan	Clapés-Saganyoles	Bastardas	1974-08-25	A.Clapés-Saganyoles@govern.cat
616347774	Arnau		Bastardas	2001-08-13	A.@educacio.com
600420356	Bàrbara	Guilera	Bastardas	1974-11-16	B.Guilera@gencat.cat
641540827	Blas	Aroca	Bastardas	1994-01-03	B.Aroca@govern.cat
679858345	Ada	Colau	Ballano	1997-11-10	A.Colau@educacio.eu
652615946	Diana María	Jiménez	Baena	1998-11-08	D.Jiménez@educacio.eu
621402842	David	González	Antius	1957-01-18	D.González@institut.edu
677743544	Esther	Recio	Alonso	1960-12-01	E.Recio@govern.cat
671416547	Irma	Cadenas	Alonso	1987-11-01	I.Cadenas@institut.edu
678521018	Àfrica Martina	Achaval		1962-07-30	À.Achaval@educacio.eu
